,yyyy,mm,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),avgtemp(degC)
1618,2017,11,9.7,4.7,0.0,43.2,72.8,7.199999999999999
1619,2017,12,7.4,2.8,6.0,70.2,64.0,5.1
1620,2018,1,7.2,3.0,3.0,124.2,39.1,5.1
1621,2018,2,5.3,0.6,10.0,41.2,68.7,2.9499999999999997
1622,2018,3,7.5,1.7,7.0,113.2,61.4,4.6
1623,2018,4,13.2,6.0,0.0,97.0,96.7,9.6
1624,2018,5,19.4,8.7,0.0,36.8,251.4,14.049999999999999
1625,2018,6,21.5,11.7,0.0,23.2,225.2,16.6
1626,2018,7,25.4,13.9,0.0,23.2,252.3,19.65
1627,2018,8,21.8,13.3,0.0,27.4,136.7,17.55
1628,2018,9,18.0,10.2,0.0,88.6,146.6,14.1
1629,2018,10,14.3,7.5,1.0,49.0,129.3,10.9
1630,2018,11,10.3,5.7,1.0,73.6,56.2,8.0
1631,2018,12,8.8,4.4,2.0,100.8,43.5,6.6000000000000005
1632,2019,1,6.6,2.8,5.0,27.4,50.0,4.699999999999999
1633,2019,2,11.2,3.2,4.0,32.2,122.6,7.199999999999999
1634,2019,3,11.5,4.7,0.0,118.2,132.9,8.1
1635,2019,4,14.1,4.4,3.0,16.2,155.0,9.25
1636,2019,5,16.1,7.8,0.0,43.8,181.4,11.950000000000001
1637,2019,6,18.6,10.5,0.0,130.2,113.3,14.55
1638,2019,7,22.7,14.1,0.0,126.0,157.6,18.4
1639,2019,8,22.0,13.7,0.0,64.8,184.1,17.85
1640,2019,9,18.1,10.5,0.0,139.2,152.0,14.3
1641,2019,10,12.6,6.7,0.0,135.6,81.0,9.65
1642,2019,11,7.9,3.9,4.0,200.0,29.0,5.9
1643,2019,12,8.2,3.5,3.0,73.0,52.8,5.85
1644,2020,1,9.2,4.2,2.0,53.8,54.8,6.699999999999999
1645,2020,2,8.9,3.0,1.0,224.6,74.5,5.95
1646,2020,3,10.6,2.8,4.0,43.6,135.6,6.699999999999999
1647,2020,4,15.6,5.7,1.0,12.4,199.8,10.65
1648,2020,5,18.4,7.7,1.0,5.4,251.9,13.049999999999999
1649,2020,6,19.4,11.0,0.0,91.0,138.2,15.2
1650,2020,7,19.7,12.3,0.0,79.4,123.7,16.0
1651,2020,8,21.2,13.5,0.0,115.2,131.0,17.35
1652,2020,9,18.5,10.3,0.0,25.4,143.5,14.4
1653,2020,10,13.0,7.5,0.0,96.2,52.9,10.25
1654,2020,11,11.0,5.7,1.0,38.6,48.8,8.35
1655,2020,12,7.0,2.9,3.0,126.6,38.9,4.95
1656,2021,1,5.2,0.9,12.0,145.2,42.2,3.0500000000000003
1657,2021,2,7.5,1.9,9.0,84.8,66.2,4.7
1658,2021,3,11.1,4.4,2.0,68.2,94.5,7.75
1659,2021,4,11.5,1.9,8.0,5.6,196.8,6.7
1660,2021,5,14.9,6.2,0.0,130.2,125.9,10.55
1661,2021,6,20.6,11.6,0.0,21.6,173.6,16.1
1662,2021,7,22.8,14.1,0.0,69.4,171.0,18.45
1663,2021,8,19.8,13.0,0.0,30.8,99.2,16.4
1664,2021,9,20.2,12.6,0.0,46.4,129.6,16.4
1665,2021,10,14.9,9.2,0.0,83.0,99.1,12.05
1666,2021,11,10.4,5.7,2.0,52.0,53.3,8.05
1667,2021,12,8.1,3.5,3.0,102.4,31.5,5.8
1668,2022,1,8.0,2.6,3.0,25.8,85.7,5.3
1669,2022,2,9.6,3.5,1.0,182.6,80.4,6.55
1670,2022,3,11.9,3.7,3.0,46.4,150.0,7.800000000000001
1671,2022,4,13.7,5.1,2.0,27.6,163.0,9.399999999999999
1672,2022,5,17.8,9.6,0.0,28.4,138.3,13.7
1673,2022,6,20.4,10.8,0.0,55.0,31.7,15.6
1674,2022,7,23.3,14.5,0.0,23.0,190.6,18.9
1675,2022,8,23.9,13.6,0.0,56.4,233.4,18.75
1676,2022,9,18.4,11.1,0.0,50.0,122.2,14.75
1677,2022,10,15.6,9.6,0.0,124.0,109.9,12.6
